input_id,defined_in,server_refs_count,server_refs_sample
afc_reduire_chevauchement,ui.R,4,iramuteqlite/server_events_lancer_iramuteq.R:1360:            if (!is.null(input$afc_reduire_chevauchement)) activer_repel <- isTRUE(input$afc_reduire_chevauchement) | iramuteqlite/server_events_lancer_iramuteq.R:1400:            if (!is.null(input$afc_reduire_chevauchement)) activer_repel2 <- isTRUE(input$afc_reduire_chevauchement) | app.R:558:    if (!is.null(input$afc_reduire_chevauchement)) activer_repel <- isTRUE(input$afc_reduire_chevauchement) | app.R:721:    if (!is.null(input$afc_reduire_chevauchement)) activer_repel <- isTRUE(input$afc_reduire_chevauchement)
afc_taille_mots,ui.R,2,iramuteqlite/server_events_lancer_iramuteq.R:1363:            taille_sel_input <- as.character(input$afc_taille_mots) | app.R:561:    taille_sel_input <- as.character(input$afc_taille_mots)
afc_zoom_in,ui.R,1,"app.R:604:  observeEvent(input$afc_zoom_in, {"
afc_zoom_out,ui.R,1,"app.R:614:  observeEvent(input$afc_zoom_out, {"
afc_zoom_reset,ui.R,1,"app.R:635:  observeEvent(input$afc_zoom_reset, {"
dl_zip,ui.R,0,
expression_utiliser_dictionnaire,ui.R,1,iramuteqlite/server_events_lancer_iramuteq.R:914:          if (isTRUE(input$expression_utiliser_dictionnaire)) {
fichier_corpus,ui.R,4,"iramuteqlite/server_events_lancer_iramuteq.R:803:      if (is.null(input$fichier_corpus) || is.null(input$fichier_corpus$datapath) || !file.exists(input$fichier_corpus$datapath)) { | iramuteqlite/server_events_lancer_iramuteq.R:838:          chemin_fichier <- input$fichier_corpus$datapath | iramuteqlite/server_events_lancer_iramuteq.R:959:            nom_corpus = input$fichier_corpus$name, | app.R:251:    fichier <- input$fichier_corpus"
filtrage_morpho,ui.R,2,"iramuteqlite/server_events_lancer_iramuteq.R:518:      if (isTRUE(input$filtrage_morpho) && identical(input$source_dictionnaire, ""lexique_fr"")) { | iramuteqlite/server_events_lancer_iramuteq.R:984:              "" | filtrage_morpho="", ifelse(isTRUE(input$filtrage_morpho), ""1"", ""0""),"
filtrer_affichage_pvalue,ui.R,5,"iramuteqlite/server_events_lancer_iramuteq.R:1264:          filtrer_affichage_pvalue <- isTRUE(input$filtrer_affichage_pvalue) | iramuteqlite/server_events_lancer_iramuteq.R:1442:            if (isTRUE(input$filtrer_affichage_pvalue)) { | iramuteqlite/server_events_lancer_iramuteq.R:1477:              filtrer_pvalue = isTRUE(input$filtrer_affichage_pvalue), | iramuteqlite/server_events_lancer_iramuteq.R:1516:            max_p = if (isTRUE(input$filtrer_affichage_pvalue)) input$max_p else 1, | iramuteqlite/server_events_lancer_iramuteq.R:1517:            filtrer_pvalue = isTRUE(input$filtrer_affichage_pvalue),"
iramuteq_classif_mode,iramuteqlite/ui_options_iramuteq.R,2,iramuteqlite/server_events_lancer_iramuteq.R:848:          classif_mode_iramuteq <- as.character(input$iramuteq_classif_mode) | iramuteqlite/server_events_lancer_iramuteq.R:1102:          classif_mode_iramuteq <- as.character(input$iramuteq_classif_mode)
iramuteq_max_formes,iramuteqlite/ui_options_iramuteq.R,1,iramuteqlite/server_events_lancer_iramuteq.R:1108:          max_formes_iramuteq <- suppressWarnings(as.integer(input$iramuteq_max_formes))
iramuteq_mincl,iramuteqlite/ui_options_iramuteq.R,1,iramuteqlite/server_events_lancer_iramuteq.R:1099:          mincl_iramuteq <- suppressWarnings(as.integer(input$iramuteq_mincl))
iramuteq_mincl_mode,iramuteqlite/ui_options_iramuteq.R,1,iramuteqlite/server_events_lancer_iramuteq.R:1096:          mincl_mode_iramuteq <- as.character(input$iramuteq_mincl_mode)
iramuteq_rst1,iramuteqlite/ui_options_iramuteq.R,1,iramuteqlite/server_events_lancer_iramuteq.R:851:          rst1_iramuteq <- suppressWarnings(as.integer(input$iramuteq_rst1))
iramuteq_rst2,iramuteqlite/ui_options_iramuteq.R,1,iramuteqlite/server_events_lancer_iramuteq.R:854:          rst2_iramuteq <- suppressWarnings(as.integer(input$iramuteq_rst2))
iramuteq_stats_mode,iramuteqlite/ui_options_iramuteq.R,1,iramuteqlite/server_events_lancer_iramuteq.R:1111:          stats_mode_iramuteq <- normaliser_mode_stats_chd_iramuteq(input$iramuteq_stats_mode)
iramuteq_svd_method,iramuteqlite/ui_options_iramuteq.R,1,iramuteqlite/server_events_lancer_iramuteq.R:1105:          svd_method_iramuteq <- as.character(input$iramuteq_svd_method)
